price,year,manufacturer_name,fuel,odometer,gear,country
20888,2015,mercedes-benz,gas,111261.0,automatic,US
31888,2015,gmc,gas,109947.0,automatic,US
10888,2014,kia,gas,121259.0,automatic,US
26900,2019,ford,gas,8176.0,automatic,US
14995,2007,jeep,gas,163169.0,automatic,US
4000,2014,chevrolet,gas,135000.0,manual,US
8500,2015,nissan,gas,100000.0,automatic,US
2595,2003,ford,gas,149055.0,automatic,US
14888,2007,jeep,gas,163169.0,automatic,US
6950,1998,ford,gas,206000.0,automatic,US
2700,2004,nissan,gas,200000.0,automatic,US
20000,2010,toyota,gas,113750.0,automatic,US
10750,2006,toyota,gas,223160.0,automatic,US
21790,2016,chevrolet,gas,100662.0,automatic,US
2700,2004,nissan,gas,200000.0,automatic,US
18990,2010,ford,gas,32988.0,automatic,US
15900,2017,nissan,gas,28650.0,automatic,US
13900,2013,honda,gas,86933.0,automatic,US
9800,2008,mazda,gas,138266.0,automatic,US
7000,2004,jaguar,gas,135185.0,automatic,US
11500,2011,bmw,gas,126000.0,automatic,US
2700,2004,nissan,gas,200000.0,automatic,US
26900,1994,nissan,gas,59384.0,manual,US
8500,2008,lexus,gas,155374.0,automatic,US
11700,2000,ford,diesel,274000.0,manual,US
8950,2011,ford,gas,164000.0,automatic,US
18500,2009,jeep,gas,76641.0,automatic,US
300,1999,saturn,gas,265000.0,automatic,US
11700,2007,chevrolet,gas,155000.0,automatic,US
6895,1995,gmc,gas,186500.0,automatic,US
14141,2017,ram,gas,102386.0,automatic,US
18777,2016,volvo,gas,38561.0,automatic,US
5600,2013,dodge,gas,88000.0,manual,US
6500,2003,chevrolet,gas,245700.0,automatic,US
17999,2012,jeep,gas,125000.0,automatic,US
20900,2016,toyota,gas,100318.0,automatic,US
28500,2019,gmc,gas,43961.0,automatic,US
23900,2017,jeep,gas,50543.0,automatic,US
13500,2000,jeep,gas,149980.0,automatic,US
19500,2013,infiniti,gas,119895.0,automatic,US
2700,2005,gmc,gas,183876.0,automatic,US
22950,2014,ford,gas,166380.0,automatic,US
7991,2011,dodge,gas,93333.0,automatic,US
6599,2010,toyota,gas,174000.0,automatic,US
4000,2002,toyota,gas,160000.0,automatic,US
2700,2004,nissan,gas,200000.0,automatic,US
2700,2004,nissan,gas,200000.0,automatic,US
9800,2010,cadillac,gas,132815.0,automatic,US
5600,2008,toyota,diesel,133244.0,automatic,US
8950,2011,ford,gas,164000.0,automatic,US
21900,2011,chevrolet,gas,93096.0,automatic,US
2700,2004,nissan,gas,200000.0,automatic,US
22900,2018,nissan,gas,14570.0,automatic,US
30900,2015,chevrolet,gas,114800.0,automatic,US
24900,2015,chevrolet,gas,119569.0,automatic,US
9250,2007,gmc,gas,181000.0,automatic,US
7950,2007,chevrolet,gas,208000.0,automatic,US
11500,2012,kia,gas,64000.0,automatic,US
3500,2003,honda,gas,201580.0,automatic,US
34990,2017,ram,gas,135740.0,automatic,US
29990,2003,ford,diesel,54703.0,manual,US
28990,2008,ford,gas,118078.0,automatic,US
26990,2016,ford,gas,105070.0,automatic,US
24990,2008,ford,gas,139567.0,automatic,US
24990,2014,mitsubishi,diesel,117851.0,automatic,US
22990,2016,ford,gas,181410.0,automatic,US
29990,2007,ford,diesel,124669.0,automatic,US
23990,2007,chevrolet,gas,32853.0,automatic,US
26990,2016,ford,diesel,201035.0,automatic,US
34990,2001,ford,diesel,70200.0,automatic,US
31990,2013,ford,gas,101335.0,automatic,US
36490,2018,ford,gas,16535.0,automatic,US
35990,2017,mitsubishi,diesel,45925.0,automatic,US
34500,2019,ford,gas,7646.0,automatic,US
16900,2014,ford,gas,35173.0,automatic,US
32700,2019,ford,gas,13646.0,automatic,US
32900,2019,ford,gas,6735.0,automatic,US
34800,2019,ford,gas,31020.0,automatic,US
9500,2014,ford,gas,219581.0,automatic,US
29950,2014,gmc,gas,139029.0,automatic,US
2700,2004,nissan,gas,200000.0,automatic,US
9800,2012,kia,gas,76117.0,automatic,US
19900,2004,chevrolet,gas,72333.0,automatic,US
35500,2019,chevrolet,gas,7189.0,automatic,US
2350,2001,gmc,gas,250000.0,automatic,US
12900,2013,nissan,gas,47751.0,manual,US
6950,2008,honda,gas,135000.0,automatic,US
5950,2008,honda,gas,190000.0,automatic,US
6350,2013,toyota,gas,184000.0,automatic,US
18900,2015,ford,gas,112165.0,automatic,US
4900,2007,volkswagen,gas,243730.0,manual,US
16900,2017,chrysler,gas,88987.0,automatic,US
4800,2010,chevrolet,gas,155071.0,automatic,US
17990,2018,ford,gas,101000.0,automatic,US
11990,2011,audi,diesel,70000.0,automatic,US
25990,2008,ram,diesel,172000.0,automatic,US
3500,2001,buick,gas,1000.0,automatic,US
5800,2012,ford,gas,160000.0,automatic,US
4500,2006,honda,gas,170000.0,automatic,US
4200,2007,honda,gas,195000.0,automatic,US
5500,2009,jeep,gas,158000.0,automatic,US
10950,2009,lexus,gas,191955.0,automatic,US
